Finished;Country;Region_UN;Region_Sub_UN;Q_Language;Gender;Age;Country;WorldIs;Identitiy
1;France;Europe;Western Europe;EN;Male;27-30;France;;
1;Tunisia;Africa;Northern Africa;EN;Male;31-35;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;United States;Americas;Northern America;EN;Male;22-26;United States;Full of struggles;Other
1;United States;Americas;Northern America;EN;Female;22-26;United States;Full of opportunities;Other
1;Tunisia;Africa;Northern Africa;EN;Female;31-35;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;Trinidad and Tobago;Americas;Caribbean;EN;Female;27-30;Trinidad and Tobago;Full of opportunities;Global (I am a citizen of the world)
1;Trinidad and Tobago;Americas;Caribbean;EN;Female;27-30;Trinidad and Tobago;Full of opportunities;Global (I am a citizen of the world)
1;Spain;Europe;Southern Europe;EN;Female;27-30;United States;Full of opportunities;Global (I am a citizen of the world)
1;Slovenia;Europe;Southern Europe;EN;Male;27-30;Slovenia;Full of opportunities;Region (I am European / I am Asian)
1;Romania;Europe;Eastern Europe;EN;Male;27-30;Romania;Full of opportunities;Region (I am European / I am Asian)
1;Canada;Americas;Northern America;EN;Female;22-26;Pakistan;Full of opportunities;Philosophical Beliefs (I am Utopian / I am Communist)
1;United States;Americas;Northern America;EN;Female;22-26;United States;Full of opportunities;Nationality (I am Indian / I am Argentinian)
1;United States;Americas;Northern America;EN;Female;27-30;United States;Full of opportunities;Other
1;Tunisia;Africa;Northern Africa;EN;Female;22-26;Tunisia;Full of opportunities;Global (I am a citizen of the world)
1;United States;Americas;Northern America;EN;Female;22-26;United States;Full of struggles;Philosophical Beliefs (I am Utopian / I am Communist)
1;Colombia;Americas;South America;EN;Female;18-21;Colombia;Full of opportunities;Global (I am a citizen of the world)
1;Australia;Oceania;Australia and New Zealand;EN;Female;31-35;Australia;Full of struggles;Other
1;Cambodia;Asia;South-Eastern Asia;EN;Female;22-26;Cambodia;Full of opportunities;Region (I am European / I am Asian)
1;Trinidad and Tobago;Americas;Caribbean;EN;Male;31-35;Trinidad and Tobago;Full of opportunities;Philosophical Beliefs (I am Utopian / I am Communist)
1;Costa Rica;Americas;Central America;EN;Male;22-26;Costa Rica;Full of opportunities;Global (I am a citizen of the world)
1;Nicaragua;Americas;Central America;EN;Male;31-35;Nicaragua;Full of opportunities;Global (I am a citizen of the world)
1;United States;Americas;Northern America;EN;Male;22-26;Syria;Full of opportunities;Global (I am a citizen of the world)
1;Trinidad and Tobago;Americas;Caribbean;EN;Male;22-26;Trinidad and Tobago;Full of opportunities;Other
1;Kenya;Africa;Eastern Africa;EN;Female;31-35;Kenya;Full of opportunities;Religion (I am Muslim / I am Christian)
1;Trinidad and Tobago;Americas;Caribbean;NA;Male;27-30;Trinidad and Tobago;Full of struggles;Nationality (I am Indian / I am Argentinian)
1;Pakistan;Asia;Southern Asia;NA;Male;18-21;Pakistan;Full of struggles;Religion (I am Muslim / I am Christian)
1;Belgium;Europe;Western Europe;EN;Male;27-30;Belgium;Full of struggles;Global (I am a citizen of the world)
